property_type,location_area,area,price_million,unit_price_million_m2,bedrooms,bathrooms,floors,distance_to_cbd_km,has_furniture,car_alley
Căn hộ chung cư,Quận 7,165.0,9900.0,60.0,3.0,2.0,,,0,0
Nhà riêng,Quận Bình Tân,220.0,17000.0,77.3,2.0,,1.0,,0,0
Nhà riêng,TP. Thủ Đức,54.0,4000.0,74.1,,,2.0,,0,0
Nhà riêng,Unknown,110.0,33000.0,300.0,6.0,,3.0,4.54,0,0
Căn hộ chung cư,TP. Thủ Đức,62.0,1670.0,26.9,2.0,,,,0,0
Căn hộ chung cư,Quận 7,58.0,3730.0,64.3,2.0,1.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,81.0,3450.0,42.6,3.0,,,,0,0
Căn hộ chung cư,Quận 1,77.0,17000.0,220.8,2.0,,1.0,,0,0
Căn hộ chung cư,Huyện Bình Chánh,68.0,1750.0,25.7,2.0,,,,0,0
Căn hộ chung cư,Quận 8,68.0,2650.0,39.0,,2.0,,,0,0
Căn hộ chung cư,Quận Bình Thạnh,120.0,17000.0,141.7,,,4.0,,0,0
Căn hộ chung cư,Quận 7,37.0,24000.0,648.6,,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,58.0,3140.0,54.1,2.0,2.0,,,0,0
Căn hộ chung cư,Quận Bình Thạnh,135.0,11300.0,83.7,3.0,,,,0,0
Căn hộ chung cư,Quận Phú Nhuận,75.0,5800.0,77.3,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 7,99.0,7200.0,72.7,2.0,2.0,,,0,0
Căn hộ chung cư,Quận Gò Vấp,75.0,3650.0,48.7,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 4,111.0,13000.0,117.1,3.0,3.0,,,0,0
Căn hộ chung cư,Huyện Bình Chánh,83.0,32000.0,385.5,3.0,2.0,,,0,0
Căn hộ chung cư,Quận Bình Tân,78.0,3700.0,47.4,,,,,0,0
Nhà riêng,Huyện Nhà Bè,85.0,10900.0,128.2,4.0,,3.0,,0,0
Nhà riêng,Quận Tân Phú,59.0,8700.0,147.5,3.0,2.0,3.0,,0,0
Căn hộ chung cư,Huyện Nhà Bè,33.0,2180.0,66.1,1.0,1.0,,,0,0
Căn hộ chung cư,Quận 4,70.0,42000.0,600.0,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 7,79.0,7000.0,88.6,2.0,2.0,,,0,0
Căn hộ chung cư,Huyện Nhà Bè,54.0,3510.0,65.0,,,,,0,0
Căn hộ chung cư,Quận Tân Bình,90.0,3250.0,36.1,2.0,,,,0,0
Căn hộ chung cư,Quận 7,130.0,13000.0,100.0,3.0,,,,0,0
Căn hộ chung cư,Quận 7,117.0,4800.0,41.0,3.0,2.0,,,0,0
Căn hộ chung cư,Quận 7,70.0,5550.0,79.3,2.0,2.0,,,0,0
Căn hộ chung cư,Quận Bình Thạnh,54.0,3350.0,62.0,2.0,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,61.0,2690.0,44.1,2.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,75.0,47000.0,626.7,2.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,70.0,4600.0,65.7,2.0,2.0,,,0,0
